Longitude,Latitude
-86.752554,33.460451
-86.5904161,34.712443
-88.1504613,30.6761375
-86.1714041,32.3578148
-94.1450778,36.1135626
-92.405983,34.750473
-111.892393,33.320132
-111.6410751,35.1913071
-111.978134,33.584612
-112.037912,33.506196
-111.927354,33.654928
-112.4837723,34.5596733
-111.7852765,34.8629323
-111.928906,33.378687
-110.921533,32.235935
-110.873985,32.273719
-110.978152,32.335801
-123.0052198,49.2662909
-123.133193,49.290233
-123.156918,49.268388
-123.115258,49.264039
-123.376,48.4569895
-123.142566,49.325598
-122.2972036,37.8802485
-122.259834,37.85609
-118.397859,34.069018
-117.8521248,33.9097336
-121.93155,37.29278
-121.963826,36.974335
-122.039909,37.323129
-121.74127,38.541659
-117.250041,32.980821
-121.8914632,37.7061671
-118.395989,33.904149
-117.293084,33.044019
-121.119582,38.648862
-121.984129,37.554582
-119.805184,36.808548
-118.245595,34.150658
-117.99149,33.732085
-117.233263,32.867942
-117.2740021,32.8473015
-122.117711,37.892877
-117.78397,33.543968
-117.71374,33.555318
-118.109317,33.755837
-122.109944,37.399098
-118.447074,34.061174
-118.437823,34.022916
-118.467255,34.053543
-118.2591674,34.1030806
-118.360365,34.071303
-118.2577197,34.0459958
-121.962677,37.236096
-122.535859,37.896086
-122.525693,37.902433
-121.900349,36.584438
-122.306463,38.322541
-117.872815,33.614678
-118.555016,34.274784
-122.565924,38.10561
-122.261018,37.812663
-119.179542,34.24108
-116.4000854,33.7254181
-122.159504,37.442468
-118.071868,34.150384
-118.147593,34.137616
-122.634196,38.240377
-118.4242783,33.974659
-118.388143,33.847252
-122.231204,37.482327
-121.266042,38.766312
-121.363917,38.595698
-117.15804,32.748249
-122.455,37.723901
-122.42332,37.790103
-122.427138,37.768408
-122.430868,37.751889
-122.399641,37.780875
-122.402679,37.764135
-122.453282,37.769486
-121.877587,37.250446
-121.9051285,37.3325081
-120.6886788,35.2518862
-122.291807,37.54445
-122.516815,37.970657
-121.960417,37.761562
-119.745648,34.440401
-121.9764449,37.3823011
-118.55635,34.412892
-122.014158,36.978853
-118.495021,34.032517
-118.481518,34.032861
-118.4972,34.019876
-122.673922,38.442259
-122.731642,38.458116
-122.823604,38.403669
-118.414041,34.157793
-118.46668,34.152025
-122.461512,38.292113
-118.540809,34.170686
-118.874357,34.18832
-118.332357,33.791554
-117.823746,33.698041
-118.470077,34.001582
-122.055191,37.893605
-122.015358,37.9259262
-118.360909,34.090968
-118.596427,34.167794
-107.083317,39.387458
-105.280914,40.025648
-105.262134,40.000114
-105.255818,40.023006
-104.961243,39.593956
-104.717634,38.878833
-104.799301,38.941868
-104.979418,39.696271
-104.958456,39.718419
-104.901539,39.653048
-104.976294,39.733585
-105.077298,40.55901
-106.0978088,39.5900803
-104.940484,39.700966
-105.162581,39.733211
-104.943541,39.545698
-105.081364,39.707805
-105.092259,39.623243
-105.1287155,40.1454277
-105.169827,39.956474
-105.0381012,39.9128799
-73.474901,41.37864
-73.474925,41.072968
-73.2419,41.157197
-72.608575,41.713695
-73.624018,41.033487
-73.024516,41.248248
-72.746516,41.783774
-72.739254,41.760885
-73.379348,41.129118
-77.033042,38.909521
-77.049386,38.900846
-77.071885,38.921191
-77.078854,38.948512
-81.3819109,28.6625321
-80.143389,25.970949
-80.108863,26.365371
-82.7364731,28.0176353
-80.285494,25.709429
-80.254374,26.2414
-80.2512719,26.0966002
-86.4196014,30.3903046
-80.118364,26.153376
-81.624764,30.185405
-80.1888549,25.7719289
-80.141056,25.780839
-81.800744,26.254163
-80.165381,25.887996
-81.476876,28.44936
-80.093165,26.847672
-80.349368,26.006924
-80.325057,25.662832
-80.1020889,26.24296
-82.541647,27.337399
-84.270589,30.46315
-82.505694,27.95682
-82.504054,28.09282
-80.203972,26.640999
-80.0885329,26.7203573
-81.3650874,28.6066449
-84.2796978,34.0690052
-84.334337,33.81522
-84.379332,33.916826
-84.365381,33.773479
-84.381952,33.840434
-82.0394287,33.5130081
-84.187878,34.01675
-84.425394,33.980812
-84.512164,33.950099
-81.071787,32.044231
-157.786948,21.278403
-156.464528,20.891556
-157.742917,21.393892
-93.758483,41.598989
-116.19418,43.606866
-87.6468964,41.8824692
-87.639083,41.868482
-87.653223,41.91091
-87.6213226,41.8913651
-87.62923,41.894991
-87.668839,41.941633
-87.649632,41.948359
-87.58818,41.801872
-87.6596527,41.9910812
-87.748454,41.990167
-87.6462708,41.7799683
-87.6532649,41.9253469
-87.84708,42.166746
-87.9627483,41.8942239
-87.679962,42.037889
-87.679513,42.0469
-87.7023903,42.068532
-87.918195,41.817868
-88.044486,42.158736
-88.200212,41.747397
-87.800177,42.105537
-87.854439,41.613257
-87.825057,42.01081
-87.805994,41.888407
-88.036464,42.042261
-88.1018322,41.8307521
-87.947334,41.772834
-86.130156,39.999919
-86.138236,39.912742
-86.186983,41.700229
-87.4712247,41.5186107
-94.7558624,38.912675
-94.661885,38.912722
-94.671628,38.963836
-97.2262942,37.7091309
-84.524008,37.995843
-85.625437,38.250292
-91.11089,30.430798
-92.0540511,30.1612332
-90.0847276,30.3923665
-90.159156,30.003199
-90.084978,29.967212
-90.117191,29.921135
-93.7302118,32.443386
-71.144697,42.65913
-71.159876,42.416085
-71.274273,42.490073
-71.461576,42.11482
-71.086554,42.343507
-71.065397,42.361322
-71.0636795,42.3449725
-71.140647,42.342655
-71.10822,42.34606
-71.102059,42.368126
-71.143031,42.388594
-71.114349,42.361968
-71.066196,42.375042
-71.17748,42.232577
-71.421394,42.298211
-72.558055,42.354022
-70.906626,42.180222
-70.3020722,41.671785
-71.110885,42.32134
-71.0320723,42.5148676
-71.127437,42.417586
-71.0618113,42.46443
-71.206518,42.329889
-71.169235,42.351398
-71.103044,42.375887
-70.9533615,42.1713753
-70.903203,42.480935
-71.364952,42.363026
-71.286013,42.30176
-71.4201584,42.5681725
-71.165083,42.460504
-76.539725,38.982187
-76.600155,39.284168
-76.649322,39.367982
-77.105043,38.966015
-77.08691,38.961812
-76.8580399,39.2192116
-77.239644,39.123404
-77.113353,39.042972
-77.022841,38.996564
-70.25869,43.663939
-83.698156,42.25737
-83.758221,42.246946
-83.0568928,42.3480684
-84.457425,42.7280476
-83.159155,42.681597
-83.184059,42.547619
-83.36064,42.530619
-93.327489,44.867501
-93.436,45.091329
-93.269269,44.982789
-93.32155,44.946869
-93.445443,44.973632
-93.1667668,44.9466046
-90.346612,38.627183
-90.2612143,38.641674
-90.516513,38.622102
-90.149885,32.354919
-82.52408,35.58274
-82.554488,35.601992
-78.777898,35.736574
-79.028049,35.933874
-80.829738,35.147626
-78.919915,36.006208
-79.834042,36.086173
-80.8722916,35.44384
-78.685317,35.801417
-78.650237,35.898892
-77.90127,34.213575
-80.274997,36.095159
-96.639202,40.812812
-96.069673,41.260782
-71.4779393,42.9541229
-71.497459,42.7788084
-75.0084351,39.91574
-74.304885,40.631725
-73.9568918,40.9695511
-73.973981,40.825696
-74.405392,40.752974
-74.2486267,40.3142204
-74.938572,39.907601
-74.222774,40.818139
-74.4886932,40.7991257
-74.056777,40.915328
-74.629349,40.33884
-74.088685,40.375396
-74.122941,40.978879
-74.286641,40.717061
-74.0714035,40.1193695
-74.247082,40.804613
-105.953868,35.102203
-106.554679,35.146933
-105.949788,35.674526
-106.604409,35.679588
-115.083661,36.021663
-115.174066,36.067384
-115.249284,36.196252
-115.288332,36.158823
-119.78768,39.47358
-73.8197098,42.7086029
-73.988751,40.675071
-73.959688,40.7160797
-73.534679,40.787358
-73.125837,40.869602
-73.671695,40.796701
-73.987042,40.766374
-73.9533506,40.7795984
-73.966089,40.759626
-73.995108,40.74511
-74.011395,40.715554
-73.990646,40.73469
-73.966654,40.79467
-73.992394,40.723841
-73.675224,40.993099
-73.758247,41.028011
-73.8577111,40.9607508
-84.44414,39.148706
-83.087957,40.095239
-82.9142455,40.0482029
-84.1891826,39.6280188
-84.319892,39.30772
-81.8403601,41.4797569
-81.536725,41.501218
-83.052527,40.006871
-81.48695,41.46252
-97.529798,35.533718
-95.973409,36.104421
-95.922586,36.03101
-79.333157,43.857352
-79.644976,43.594606
-79.679121,43.455966
-75.6860085,45.3993083
-79.41038,43.76082
-79.395354,43.672212
-121.266068,44.055059
-123.0875708,44.0499649
-122.752089,45.534321
-122.6637053,45.4154051
-122.683361,45.523549
-122.618771,45.523012
-122.650589,45.548541
-122.877228,45.536818
-122.8020678,45.4439016
-122.63686,45.394541
-75.5674896,40.5657806
-75.54404,39.865826
-75.120453,40.106229
-75.225019,40.209971
-75.1717119,39.9609158
-75.1741259,39.9627391
-75.157937,39.942755
-79.928449,40.458822
-75.283734,40.115334
-80.0728378,40.3349915
-75.412414,40.048174
-80.053394,40.613616
-75.2752753,40.0017082
-71.457116,41.755672
-71.386034,41.828065
-71.409309,41.83717
-80.975499,33.992745
-82.300923,34.825852
-80.717475,32.186515
-79.889796,32.802079
-85.314224,35.06263
-89.894596,35.93483
-89.8348312,35.0977287
-84.0154633,35.9342562
-89.8943329,35.1135788
-86.825271,36.103429
-97.754274,32.953287
-96.752078,32.765687
-97.937587,30.406211
-96.795189,30.221646
-95.623349,30.270607
-95.398112,30.387993
-95.497099,30.307817
-97.155632,32.8792419
-95.441234,32.907737
-97.840656,32.815725
-96.8019808,32.795383
-96.81539,32.87187
-106.5485269,31.8350905
-97.743227,33.131104
-97.3838959,32.7006721
-98.510924,32.820519
-97.0846159,33.0731197
-95.5622253,29.9990196
-95.5708563,29.7366348
-95.5002747,29.752388
-95.4614141,29.7501571
-98.479774,29.739032
-96.650924,29.706182
-97.099182,29.759548
-95.573018,29.712956
-96.765899,33.029391
-96.6989156,32.9973547
-95.770708,29.613418
-96.821136,29.493716
-97.720267,29.59822
-95.4557724,30.1575203
-111.834237,40.625918
-111.889984,40.543312
-111.543122,40.72094
-111.858348,40.723448
-111.87114,40.757494
-77.059624,38.804246
-77.090769,38.889522
-77.0548654,38.8628872
-77.4795685,39.0415306
-78.490366,38.059962
-77.376652,38.858435
-77.204086,38.903038
-77.600104,37.648609
-76.489654,37.102607
-77.349078,38.95163
-77.233997,38.779264
-77.263674,38.902595
-76.028025,36.850142
-122.2042704,47.6139247
-122.185534,47.618072
-122.4616776,48.7438354
-122.2726669,47.8198967
-122.100869,47.666515
-122.317015,47.675107
-122.37713,47.637174
-122.536232,47.2273903
-122.507387,45.615538
-89.443819,43.0751
-87.883706,43.060374
-88.0517225,43.0748096